title,release_date,developer,publisher,tags,bundle,music
DUSK '82: ULTIMATE EDITION,"22 Oct, 2021",David Szymanski,New Blood Interactive,"Puzzle,2D,Arcade,Grid-Based Movement,Adventure,Logic,Sokoban,Strategy,Level Editor,1980s,Turn-Based Combat,Minimalist,Pixel Graphics,Retro,Top-Down Shooter,Abstract,Colorful,Stylized,Turn-Based Strategy,Top-Down",,Buy Dusk '82
A Wolf in Autumn,"27 Oct, 2015",David Szymanski,David Szymanski,"Adventure,Indie,Horror,Psychological Horror,Exploration,Story Rich,Atmospheric,First-Person,Female Protagonist,Singleplayer,Dark,Blood,Surreal,Great Soundtrack,Short,Puzzle,Walking Simulator,Point & Click,Investigation,3D",,Buy A Wolf in Autumn
The Moon Sliver,"28 Oct, 2014",David Szymanski,David Szymanski,"Walking Simulator,Psychological Horror,Adventure,First-Person,Exploration,Indie,Horror,Story Rich,Short,Atmospheric,Singleplayer,Great Soundtrack,Puzzle,Dark,Post-apocalyptic,Investigation,Point & Click,3D,Minimalist,Stylized",,Buy The Moon Sliver
The Music Machine,"6 May, 2015",David Szymanski,David Szymanski,"Adventure,Indie,Horror,First-Person,Walking Simulator,Psychological Horror,Exploration,Atmospheric,Singleplayer,Great Soundtrack,Dark,Dark Humor,Pixel Graphics,Puzzle,Stylized,Music,Short,Mystery,Female Protagonist,Point & Click",,Buy The Music Machine
The Pony Factory,"18 Jan, 2024",David Szymanski,David Szymanski,"FPS,Horror,Dark Humor,Comedy,Singleplayer,Action,Stylized,Horses,Shooter,3D,Noir,Funny,First-Person,Combat,Resource Management,Linear,Atmospheric,Surreal,Dark",,Buy The Pony Factory
Chop Goblins,"12 Dec, 2022",David Szymanski,David Szymanski,"Boomer Shooter,FPS,Old School,Funny,Fast-Paced,Pixel Graphics,Short,Colorful,Shooter,Gore,Comedy,Action,First-Person,Time Travel,1990's,Stylized,Destruction,Combat,Dark Humor,Retro",,Buy Chop Goblins
Squirrel Stapler,"11 Sep, 2023",David Szymanski,David Szymanski,"Hunting,Horror,Dark Humor,Nature,Exploration,Atmospheric,Action,Walking Simulator,Dark Comedy,FPS,3D,Colorful,First-Person,Shooter,Pixel Graphics,Stylized,1990's,Funny,Comedy,Psychological Horror",,Buy Squirrel Stapler
Exiled,"18 Jan, 2024",John Szymanski,John Szymanski,"Horror,Survival Horror,Puzzle,Point & Click,Mystery,Dark,Psychological Horror,Choices Matter,Story Rich,Multiple Endings,Atmospheric,Stylized,3D,Singleplayer,Adventure,Cinematic,Thriller,Linear,First-Person,Funny",,Buy Exiled
Rubber Ducky and the Rainbow Gun,"15 Dec, 2015",John Szymanski,John Szymanski,"Indie,Action",,Buy Rubber Ducky and the Rainbow Gun
Kyle is Famous: Complete Edition,"18 Nov, 2019",John Szymanski,John Szymanski,"Adventure,Choose Your Own Adventure,Interactive Fiction,Funny,Multiple Endings,Text-Based,Replay Value,Point & Click,Comedy,Dynamic Narration,Narration,Story Rich,Conversation,Colorful,Singleplayer,Puzzle,Memes,Drama,Mystery,Sandbox",,
Zortch,"8 Jun, 2023",Mutantleg,Mutantleg,"FPS,Shooter,Action,Female Protagonist,First-Person,Boomer Shooter,Adventure,Dark Comedy,Indie,Horror,Sci-fi,Linear,Singleplayer,Violent,Retro,Old School",,
I Am Your Beast,"10 Sep, 2024",Strange Scaffold,Strange Scaffold,"FPS,Fast-Paced,Arcade,Action,Violent,Shooter,First-Person,Gore,Colorful,Singleplayer,Indie,Combat,Narrative,Noir,Open World,Military,Tactical,Retro,PvE,LGBTQ+",,Buy I Am Your Beast
Echo Point Nova Demo,"19 Jun, 2023",Greylock Games Studio,Greylock Games Studio,"Action,Adventure,Sandbox,Shooter,Arena Shooter,FPS,First-Person,Voxel,Futuristic,Military,Sci-fi,Skateboarding,Snowboarding,Bullet Time,Character Customization,Combat,Controller,Nonlinear,Open World,PvE",,
BPM: BULLETS PER MINUTE,"15 Sep, 2020",Awe Interactive,Awe Interactive,"FPS,Rhythm,Roguelike,Action,Indie,Adventure,Shooter,Action Roguelike,Rock Music,Great Soundtrack,Music,Roguelite,Difficult,Singleplayer,First-Person,Female Protagonist,Fast-Paced,Bullet Hell,Procedural Generation,Boomer Shooter",,Buy BPM: BULLETS PER MINUTE
SULFUR,,Perfect Random,,"Early Access,Extraction Shooter,Action,Adventure,Simulation,RPG,Action-Adventure,Action Roguelike,Action RPG,Inventory Management,FPS,Roguelite,Dungeon Crawler,Difficult,Roguelike,Shooter,3D,Cooking,2D,Survival",,Buy SULFUR
Arco,"15 Aug, 2024",Franek,Panic,"RPG,Turn-Based Strategy,Action-Adventure,Story Rich,Turn-Based Combat,Choices Matter,Pixel Graphics,Exploration,Adventure,Strategy,Conversation,Choose Your Own Adventure,Atmospheric,Fantasy,Turn-Based Tactics,Nonlinear,Bullet Time,Dark,Soundtrack,Western",,
Iron Lung,"9 Mar, 2022",David Szymanski,David Szymanski,"Horror,Atmospheric,Psychological Horror,Submarine,Underwater,Short,Indie,Pixel Graphics,Minimalist,Adventure,First-Person,Sci-fi,Abstract,3D,Walking Simulator,Exploration,Dark,Mystery,Dystopian,Surreal",,Buy Iron Lung
